Fecha,Precipitación,"""Temperatura Máxima""","""Humedad Relativa Máxima""","""Humedad Relativa Media""","""Humedad Relativa Mínima"""
2017-12-05,25.0,12.99,95.2,89.29,77.8
2017-12-06,7.4,24.83,85.3,56.01,29.5
2017-12-07,0.1,21.8,95.9,71.63,44.52
2017-12-08,9.9,19.41,89.9,67.77,51.53
2017-12-09,2.5,22.5,79.21,60.08,32.88
2017-12-10,0.0,20.92,83.1,67.58,50.63
2017-12-11,5.1,22.38,86.1,58.6,38.21
2017-12-12,0.3,26.59,67.98,46.19,20.06
2017-12-13,0.0,27.64,55.12,35.1,20.13
2017-12-14,0.0,25.76,58.54,37.84,20.73
2017-12-15,0.0,26.53,63.19,39.61,20.93
2017-12-16,0.0,28.77,54.86,39.05,19.11
2017-12-17,0.0,30.86,91.7,35.13,5.87
2017-12-18,5.8,16.6,94.0,78.34,62.23
2017-12-19,3.6,21.81,96.2,62.94,48.26
2017-12-20,1.6,26.86,92.5,55.01,27.72
2017-12-21,1.3,21.14,93.9,76.89,48.65
2017-12-22,2.4,23.79,95.9,85.39,45.52
2017-12-23,13.1,24.35,92.1,69.27,33.38
2017-12-24,3.8,18.24,93.3,81.04,65.36
2017-12-25,3.7,25.26,84.3,64.48,34.18
2017-12-26,0.0,24.38,92.7,65.23,38.48
2017-12-27,1.9,19.72,89.4,73.33,59.53
2017-12-28,6.0,24.23,82.9,57.85,35.32
2017-12-29,0.0,18.32,88.9,74.02,59.89
2017-12-30,0.4,26.28,67.69,49.45,26.97
2017-12-31,0.0,27.73,68.14,47.49,25.26
2018-01-01,0.0,25.69,71.16,49.48,27.52
2018-01-02,0.4,23.48,89.7,59.14,35.5
2018-01-03,3.0,20.17,81.7,62.18,44.69
2018-01-04,0.4,25.73,62.15,37.18,16.91
2018-01-05,0.0,29.23,66.95,37.78,13.12
2018-01-06,0.0,22.0,80.1,50.85,19.32
2018-01-07,0.4,21.83,94.6,66.39,39.5
2018-01-08,4.8,18.15,94.7,68.15,47.21
2018-01-09,0.7,21.34,85.3,61.14,36.7
2018-01-10,1.5,23.74,71.71,51.21,31.78
2018-01-11,0.0,16.23,93.6,84.37,53.46
2018-01-12,3.6,24.4,88.5,57.85,39.18
2018-01-13,0.1,23.74,90.5,70.59,37.87
2018-01-14,0.9,19.0,96.4,76.76,49.09
2018-01-15,3.1,18.1,94.5,76.04,53.22
2018-01-16,1.2,23.46,82.7,63.77,39.91
2018-01-17,0.0,26.1,77.29,52.67,29.29
2018-01-18,0.0,25.18,84.8,55.96,32.21
2018-01-19,2.1,23.67,88.8,64.95,38.18
2018-01-20,1.1,23.07,71.88,54.28,36.42
2018-01-21,0.0,27.31,77.84,53.26,26.32
2018-01-22,4.1,26.62,64.62,45.82,25.77
2018-01-23,0.0,26.67,60.09,43.86,25.72
2018-01-24,0.0,26.77,84.2,49.13,24.71
2018-01-25,0.0,20.22,88.5,75.34,49.25
2018-01-26,2.9,26.0,96.8,59.63,26.49
2018-01-27,7.7,23.08,97.0,82.42,31.72
2018-01-28,8.2,18.63,97.6,87.23,53.04
2018-01-29,14.3,17.93,96.7,87.99,66.84
2018-01-30,8.5,25.64,98.0,69.47,33.25
2018-01-31,39.2,21.6,97.7,76.59,49.47
2018-02-01,28.9,17.9,97.5,87.47,61.48
2018-02-02,9.4,16.8,98.3,93.29,79.82
2018-02-03,41.6,21.44,98.2,88.61,54.19
2018-02-04,9.2,23.27,95.4,65.32,37.82
2018-02-05,0.0,24.07,80.9,55.19,31.11
2018-02-07,27.9,20.0,98.1,88.41,66.55
2018-02-08,34.6,18.29,97.4,89.2,58.2
2018-02-09,6.7,21.83,94.5,72.02,54.98
2018-02-10,0.3,20.35,96.8,74.19,52.32
2018-02-11,6.9,20.94,97.8,84.17,54.64
2018-02-12,26.4,18.45,98.5,90.58,62.87
2018-02-13,18.3,19.98,97.7,79.99,46.74
2018-02-14,15.4,17.69,97.7,89.58,72.52
2018-02-15,5.1,23.6,98.1,81.8,39.74
2018-02-16,15.1,22.13,98.0,80.08,50.32
2018-02-17,26.0,21.41,95.0,69.88,43.98
2018-02-18,0.0,26.06,81.7,52.07,28.37
2018-02-19,1.8,25.8,87.1,45.58,18.24
2018-02-20,0.0,24.62,85.9,60.05,29.22
2018-02-21,0.0,17.26,97.4,85.78,65.67
2018-02-22,19.1,19.1,94.9,70.96,50.35
2018-02-23,0.1,22.52,81.0,58.87,30.21
2018-02-24,0.0,23.11,86.1,59.63,34.73
2018-02-25,0.0,22.47,81.1,59.86,38.58
2018-02-26,0.0,22.06,74.52,58.52,40.52
2018-02-27,0.0,24.34,76.58,55.49,35.62
2018-02-28,0.0,25.81,94.8,61.61,31.77
2018-03-01,0.8,21.73,92.8,62.51,39.81
2018-03-02,0.0,24.14,88.5,61.11,36.68
2018-03-03,3.6,23.23,76.84,56.57,36.59
2018-03-04,0.0,24.8,96.8,61.45,35.37
2018-03-05,14.9,21.71,91.7,65.34,42.12
2018-03-06,0.1,22.31,83.7,65.59,42.84
2018-03-07,0.0,17.71,91.3,79.02,60.07
2018-03-08,6.5,24.96,95.7,65.82,35.37
2018-03-09,2.0,24.46,91.2,63.62,34.7
2018-03-10,0.0,23.89,86.5,58.82,33.72
2018-03-11,0.0,27.3,78.44,53.04,17.66
2018-03-12,0.0,24.19,72.4,54.18,28.26
2018-03-13,0.0,27.47,97.6,61.94,31.43
2018-03-14,6.4,22.53,96.0,65.57,47.67
2018-03-15,0.0,25.92,96.9,69.58,31.92
2018-03-16,4.5,17.03,95.9,85.42,68.45
2018-03-17,4.8,24.87,87.3,60.73,36.73
2018-03-18,0.0,27.36,83.8,56.64,30.44
2018-03-19,0.0,22.55,92.1,70.6,41.63
2018-03-20,0.7,22.89,92.6,60.21,33.92
2018-03-21,0.0,24.48,75.81,57.32,37.76
2018-03-22,0.0,28.11,68.13,41.61,16.46
2018-03-23,0.0,29.15,65.42,43.63,27.28
2018-03-24,0.0,28.6,84.8,53.15,25.8
2018-03-25,0.0,18.12,96.0,88.26,58.82
2018-03-26,10.9,21.74,85.6,62.24,34.46
2018-03-27,0.0,23.59,83.6,59.84,32.41
2018-03-28,0.0,22.37,89.7,71.18,40.36
2018-03-29,1.6,22.31,92.3,73.35,40.46
2018-03-30,1.7,23.17,95.8,67.11,31.47
2018-03-31,5.7,18.36,88.5,65.1,39.76
2018-04-01,0.0,23.59,79.46,51.94,18.27
2018-04-02,0.0,22.69,79.06,58.66,31.24
2018-04-03,0.0,23.89,77.0,54.18,28.17
2018-04-04,0.0,24.64,83.0,57.35,27.99
2018-04-05,0.0,24.63,76.86,49.54,18.3
2018-04-06,0.0,24.95,71.9,52.31,32.55
2018-04-07,0.0,25.91,77.72,57.0,32.26
2018-04-08,0.0,25.14,79.55,56.9,29.97
2018-04-09,0.0,24.89,72.61,52.77,33.87
2018-04-10,0.0,26.79,57.27,29.36,10.89
2018-04-11,0.0,27.35,50.15,23.96,6.99
2018-04-12,0.0,27.03,74.57,44.45,11.01
2018-04-13,0.0,19.13,85.8,68.88,41.58
2018-04-14,0.3,24.9,80.4,54.76,26.65
2018-04-15,0.0,23.58,75.98,51.85,25.52
2018-04-16,0.0,22.43,74.24,51.41,18.1
2018-04-17,0.0,23.27,83.0,48.04,18.77
2018-04-18,0.0,21.18,76.81,48.77,25.35
2018-04-19,0.0,24.68,70.45,44.33,18.25
2018-04-20,0.0,26.45,67.91,40.28,12.06
2018-04-21,0.0,24.74,72.07,46.21,24.69
2018-04-22,0.0,26.2,65.15,44.01,22.81
2018-04-23,0.0,25.88,93.2,52.29,22.05
2018-04-24,2.2,21.7,77.87,56.17,35.0
2018-04-25,0.0,24.7,64.89,41.37,22.94
2018-04-26,0.0,23.99,66.08,44.99,26.88
2018-04-27,0.0,25.28,72.47,49.16,22.33
2018-04-28,0.0,23.03,69.09,51.71,32.38
2018-04-29,0.0,25.26,70.61,47.13,23.15
2018-04-30,0.0,26.67,79.21,51.21,19.31
2018-05-01,0.0,24.16,79.36,54.19,35.18
2018-05-02,0.0,26.52,71.33,42.67,19.39
2018-05-03,0.8,27.1,63.73,40.63,11.47
2018-05-04,0.0,24.97,66.31,47.62,24.28
2018-05-05,0.0,21.74,75.79,55.17,32.26
2018-05-06,0.0,22.3,74.24,52.79,33.13
2018-05-07,0.0,24.28,63.32,42.57,24.12
2018-05-08,0.0,23.5,66.69,45.49,28.89
2018-05-09,0.0,24.57,55.35,43.42,24.34
2018-05-10,0.0,25.79,75.6,40.96,19.16
2018-05-11,0.0,24.03,82.3,59.69,31.4
2018-05-12,0.0,23.78,76.22,42.27,15.35
2018-05-13,0.0,23.29,58.28,35.37,21.17
2018-05-14,0.0,24.64,45.46,27.96,13.6
2018-05-15,0.0,24.91,51.5,20.78,3.52
2018-05-16,0.0,22.44,53.51,36.7,18.22
2018-05-17,0.0,24.95,47.55,24.85,12.04
2018-05-18,0.0,25.0,57.27,22.31,4.7
2018-05-19,0.0,21.69,61.02,45.13,26.44
2018-05-20,0.0,22.77,62.11,24.59,2.98
2018-05-21,0.0,24.52,42.94,18.94,5.03
2018-05-22,0.0,24.95,65.7,32.58,5.97
2018-05-23,0.0,23.87,70.63,35.33,12.2
2018-05-24,0.0,23.18,69.23,35.73,13.32
2018-05-25,0.0,23.31,55.92,30.64,10.0
2018-05-26,0.0,23.85,55.88,28.82,11.57
2018-05-27,0.0,23.83,56.81,34.6,9.71
2018-05-28,0.0,24.16,58.21,37.13,17.82
2018-05-29,0.0,23.94,51.73,23.37,8.06
2018-05-30,0.0,23.79,55.08,30.75,7.13
2018-05-31,0.0,24.11,55.98,27.34,7.23
2018-06-01,0.0,23.63,55.06,35.59,11.97
2018-06-02,0.0,22.45,76.23,47.07,27.18
2018-06-03,0.0,15.17,96.2,89.43,58.45
2018-06-04,8.6,16.97,93.5,63.97,43.85
2018-06-05,0.1,20.81,76.57,49.25,29.01
2018-06-06,0.0,24.44,63.34,37.55,20.0
2018-06-07,0.0,23.03,73.17,46.73,18.69
2018-06-08,0.0,21.94,78.72,54.36,22.73
