Fecha,"""Temperatura Máxima""","""Temperatura Media""","""Temperatura Mínima""","""Humedad Relativa Mínima""","""Presion Media""",ETo
2017-12-05,12.99,10.95,9.18,77.8,729.88,2.26
2017-12-06,24.83,18.59,12.84,29.5,727.64,5.1
2017-12-07,21.8,16.13,11.67,44.52,728.32,4.42
2017-12-08,19.41,15.09,11.65,51.53,728.51,3.73
2017-12-09,22.5,17.26,14.33,32.88,728.46,4.16
2017-12-10,20.92,14.09,10.47,50.63,730.17,4.36
2017-12-11,22.38,16.02,12.4,38.21,730.05,4.47
2017-12-12,26.59,18.87,13.75,20.06,728.55,5.48
2017-12-13,27.64,20.18,13.58,20.13,729.3,5.8
2017-12-14,25.76,19.35,13.76,20.73,730.79,5.24
2017-12-15,26.53,19.74,13.75,20.93,728.75,5.46
2017-12-16,28.77,20.87,14.8,19.11,726.74,5.96
2017-12-17,30.86,21.14,11.0,5.87,728.74,6.96
2017-12-18,16.6,13.83,11.5,62.23,730.74,2.9
2017-12-19,21.81,16.13,11.73,48.26,728.75,4.43
2017-12-20,26.86,19.07,12.24,27.72,727.05,5.76
2017-12-21,21.14,15.27,12.08,48.65,727.13,4.18
2017-12-22,23.79,14.11,11.59,45.52,727.06,5.0
2017-12-23,24.35,17.2,13.55,33.38,726.96,4.87
2017-12-24,18.24,14.2,11.41,65.36,728.38,3.44
2017-12-25,25.26,17.62,13.87,34.18,727.27,5.09
2017-12-26,24.38,17.43,12.8,38.48,728.37,4.99
2017-12-27,19.72,15.27,12.43,59.53,729.4,3.69
2017-12-28,24.23,18.37,13.65,35.32,729.02,4.82
2017-12-29,18.32,14.89,11.28,59.89,729.43,3.49
2017-12-30,26.28,19.55,14.76,26.97,727.1,5.24
2017-12-31,27.73,20.63,14.88,25.26,726.6,5.65
2018-01-01,25.69,19.04,15.12,27.52,726.36,5.01
2018-01-02,23.48,17.73,10.61,35.5,727.88,5.04
2018-01-03,20.17,14.99,11.31,44.69,729.48,4.02
2018-01-04,25.73,18.89,12.55,16.91,727.33,5.4
2018-01-05,29.23,21.49,15.05,13.12,727.39,6.06
2018-01-06,22.0,16.44,12.1,19.32,730.27,4.42
2018-01-07,21.83,15.09,10.24,39.5,731.02,4.64
2018-01-08,18.15,14.15,10.4,47.21,730.59,3.59
2018-01-09,21.34,15.27,10.68,36.7,730.0,4.44
2018-01-10,23.74,17.46,13.61,31.78,730.17,4.67
2018-01-11,16.23,12.23,10.2,53.46,731.0,3.06
2018-01-12,24.4,16.93,12.11,39.18,726.66,5.08
2018-01-13,23.74,15.21,12.75,37.87,726.66,4.8
2018-01-14,19.0,14.22,10.86,49.09,728.99,3.75
2018-01-15,18.1,14.69,11.43,53.22,729.82,3.38
2018-01-16,23.46,16.3,11.83,39.91,729.4,4.85
2018-01-17,26.1,18.69,13.67,29.29,728.75,5.33
2018-01-18,25.18,17.78,12.97,32.21,729.78,5.16
2018-01-19,23.67,17.23,12.05,38.18,729.76,4.87
2018-01-20,23.07,17.06,12.38,36.42,728.0,4.65
2018-01-21,27.31,18.0,12.44,26.32,726.28,5.81
2018-01-22,26.62,19.63,14.54,25.77,725.79,5.33
2018-01-23,26.67,18.43,12.56,25.72,727.32,5.61
2018-01-24,26.77,18.72,13.87,24.71,728.49,5.46
2018-01-25,20.22,14.63,10.79,49.25,728.88,4.08
2018-01-26,26.0,18.15,11.42,26.49,726.91,5.55
2018-01-27,23.08,14.81,12.14,31.72,726.88,4.66
2018-01-28,18.63,14.11,12.16,53.04,726.74,3.36
2018-01-29,17.93,14.14,12.08,66.84,726.55,3.15
2018-01-30,25.64,17.91,11.53,33.25,726.2,5.42
2018-01-31,21.6,16.3,11.36,49.47,728.5,4.35
2018-02-01,17.9,13.84,11.93,61.48,729.64,3.17
2018-02-02,16.8,13.97,11.83,79.82,729.15,2.83
2018-02-03,21.44,15.16,12.51,54.19,729.03,4.11
2018-02-04,23.27,17.27,12.74,37.82,729.6,4.58
2018-02-05,24.07,18.03,12.67,31.11,729.01,4.81
2018-02-07,20.0,14.37,11.3,66.55,728.69,3.88
2018-02-08,18.29,13.6,11.19,58.2,728.51,3.4
2018-02-09,21.83,16.07,11.96,54.98,728.04,4.27
2018-02-10,20.35,16.0,10.55,52.32,728.44,4.07
